OrgDefinedId,code,Attendance Out of 6 Classes Points Grade <Numeric MaxPoints:6>,Quiz 1 Points Grade <Numeric MaxPoints:1>,Quiz 2 Points Grade <Numeric MaxPoints:1>,Midterms Points Grade <Numeric MaxPoints:300>,ACC3202 Individual Project Upload Points Grade <Numeric MaxPoints:5>,ACC3202 Titanic Bonus Credit Project Upload Points Grade <Numeric MaxPoints:5>,2nd Attendance Out of 7 Classes Points Grade <Numeric MaxPoints:7>,AGILE Group Project Points Grade <Numeric MaxPoints:100>,Quiz 3 Points Grade <Numeric MaxPoints:1>,comment,Connect AIS Points Grade <Numeric MaxPoints:100>,Connect DA Points Grade <Numeric MaxPoints:100>,Calculated Final Grade Numerator,Calculated Final Grade Denominator,Adjusted Final Grade Numerator,Adjusted Final Grade Denominator,End-of-Line Indicator
#12137679,586428,6,0.9,0.55,246.67,,,,79,,"Data Analytics (25%, Score 17/25): The DA portion was presented with strong thematic coherence. The charts were visually aligned with the dark and ominous aesthetic of The Hermit’s Prophecy, and the group used AI-generated images effectively to maintain stylistic consistency, demonstrating both creativity and modern DA presentation techniques. While the visuals were polished and immersive, the section would benefit from deeper explanation or clearer statistical interpretation. Even so, the execution elevated the overall quality of the project. Game Vision and User Stories (20%, Score 14/20): The group created a compelling RPG concept centered around prophecy, fate, and darkness. The slides conveyed a coherent narrative with consistent tone and worldbuilding. Although RPGs naturally borrow from established conventions, the group contextualized their own lore and storyline effectively. More explicit user stories or clearer articulation of player roles and progression would strengthen the vision, but the overarching concept was well communicated. UI/UX Mock-up (15%, Score 13/15): The UI/UX mock-ups were visually cohesive, carefully styled, and aligned with the dark fantasy theme. The use of AI-generated visuals showed resourcefulness and an understanding of how generative tools can enhance design workflow. HUD elements, interface layouts, and thematic consistency contributed to a polished and immersive mock-up. Game Mechanics (15%, Score 12/15): The mechanics were clearly presented and logically connected to the game’s vision, reflecting understanding of progression, story interaction, and combat. While some elements were derivative of common RPG structures, they formed a solid foundation. More detail on what differentiates this RPG from existing titles would improve this section. Agile Process Participation (10%, Score 10/10): The volume and quality of work strongly suggest that the team implemented Agile principles effectively. The slides’ polish and thematic consistency demonstrate coordinated task division, iteration, and collaboration. This was one of the clearest examples of effective Agile workflow in the class. Presentation (15%, Score 13/15): The presentation was confident, atmospheric, and thematically consistent. The group communicated their ideas clearly and showcased strong visual work. Slight improvements could come from more emphasis on DA interpretation or clearer differentiation of unique mechanics, but overall the delivery was strong and engaging.",96.42857143,97.76119403,254.12,308,,,#
#12140339,480716,6,0.8,0.6,260,,,,75,,"Data Analytics (25%, Score 15/25): The DA portion consisted of a single diagram showing increasing player counts for several popular games. While the chart was structurally correct, it lacked interpretation and did not explain why players were increasing, which trends were meaningful, or how the data informed the design of the dungeon-themed game. Given that this is a Data Analytics class, the limited emphasis on DA was noticeable. More charts, deeper analysis, or clearer explanations of how the numbers connect to design decisions would significantly improve this section. Game Vision and User Stories (20%, Score 13/20): The dungeon-themed concept was strong and visually striking, with the opening slide creating a dramatic atmosphere that fit classic fantasy exploration. The group clearly depicted team roles, which helped communicate structure and organization. Although explicit user stories were not heavily detailed, the coherence of the game world suggests the group had a solid grasp of its vision and core elements. UI/UX Mock-up (15%, Score 12/15): The mock-up effectively conveyed the look and feel of the gameplay, and the inclusion of class cards added personality and depth to the design. More explicit UI elements—such as menus, HUD indicators, or skill trees—would increase clarity, but the mock-up remained visually effective and thematically consistent. Game Mechanics (15%, Score 13/15): The mechanics appeared well developed, with meaningful attention to character roles, dungeon structure, and class abilities. The class cards in particular added depth to the system. Although not extensively described in your notes, the overall impression is that the group put substantial thought into how the game functions. Agile Process Participation (10%, Score 9/10): The polished slides and clear division of tasks indicated strong use of Agile methodology. The group appeared to work in parallel and coordinate effectively to produce a content-rich project. Presentation (15%, Score 13/15): The presentation was engaging, visually consistent with the medieval dungeon theme, and well organized. Strong imagery enhanced the mood and captured attention. Slight improvement could come from placing more emphasis on DA explanations, but overall the presentation was enjoyable and well delivered.",96.42857143,50,267.4,308,,,#
#23536606,907794,5,1,0.45,273.33,,,,79,,"Data Analytics (25%, Score 17/25): The DA portion was presented with strong thematic coherence. The charts were visually aligned with the dark and ominous aesthetic of The Hermit’s Prophecy, and the group used AI-generated images effectively to maintain stylistic consistency, demonstrating both creativity and modern DA presentation techniques. While the visuals were polished and immersive, the section would benefit from deeper explanation or clearer statistical interpretation. Even so, the execution elevated the overall quality of the project. Game Vision and User Stories (20%, Score 14/20): The group created a compelling RPG concept centered around prophecy, fate, and darkness. The slides conveyed a coherent narrative with consistent tone and worldbuilding. Although RPGs naturally borrow from established conventions, the group contextualized their own lore and storyline effectively. More explicit user stories or clearer articulation of player roles and progression would strengthen the vision, but the overarching concept was well communicated. UI/UX Mock-up (15%, Score 13/15): The UI/UX mock-ups were visually cohesive, carefully styled, and aligned with the dark fantasy theme. The use of AI-generated visuals showed resourcefulness and an understanding of how generative tools can enhance design workflow. HUD elements, interface layouts, and thematic consistency contributed to a polished and immersive mock-up. Game Mechanics (15%, Score 12/15): The mechanics were clearly presented and logically connected to the game’s vision, reflecting understanding of progression, story interaction, and combat. While some elements were derivative of common RPG structures, they formed a solid foundation. More detail on what differentiates this RPG from existing titles would improve this section. Agile Process Participation (10%, Score 10/10): The volume and quality of work strongly suggest that the team implemented Agile principles effectively. The slides’ polish and thematic consistency demonstrate coordinated task division, iteration, and collaboration. This was one of the clearest examples of effective Agile workflow in the class. Presentation (15%, Score 13/15): The presentation was confident, atmospheric, and thematically consistent. The group communicated their ideas clearly and showcased strong visual work. Slight improvements could come from more emphasis on DA interpretation or clearer differentiation of unique mechanics, but overall the delivery was strong and engaging.",97.02380952,98.50746269,279.78,308,,,#
#23637245,608538,6,1,0.85,253.33,,,,79,,"Data Analytics (25%, Score 17/25): The group incorporated multiple Excel charts, showing effort in using visualization tools and a willingness to apply data analytics techniques. However, the analytics lacked coherence and interpretive flow. The first chart indicated that RPG is the top genre, but the second chart suggested that revenues for survival games are increasing linearly, and these insights were not connected or linked to the proposed game. A third chart compared unrelated genres without a clear narrative. Overall, the section met the basic requirement of producing charts but did not demonstrate meaningful reasoning or support for game design decisions. Game Vision and User Stories (20%, Score 14/20): The vision of an RPG involving repelling enemies was presented, but the premise felt underdeveloped and unclear, which became more evident during Q and A. The purpose, world, and motivation behind the game were not consistently articulated. The group would benefit from expanded user stories that specify the player role, objectives, and progression. The foundation exists, but the clarity needed for a compelling vision is lacking. UI/UX Mock-up (15%, Score 11/15): The mock-up contained many detailed components, showing effort and attention to visual elements. However, the UI appeared disconnected from the core storyline and did not reinforce the game’s theme or narrative. Effective UI should reflect the world and mechanics of the game, and the mismatch weakened cohesion. Game Mechanics (15%, Score 12/15): The mechanics outlined were logical and internally consistent, with clear descriptions of combat and interactions. However, because the overall vision was unclear, these mechanics felt isolated rather than integrated into a cohesive system. The logic is present but not grounded in a strong conceptual framework. Agile Process Participation (10%, Score 8/10): The group produced many slides and detailed breakdowns, suggesting good task division and active participation. However, uneven clarity across sections indicates that the team may not have aligned early on a shared direction. Stronger communication would improve coherence. Presentation (15%, Score 12/15): The presenters communicated the basic structure of the game but struggled to articulate its purpose and internal logic during questions. Delivery was acceptable, though conceptual gaps reduced audience understanding. Strengthening the ability to explain reasoning would improve overall presentation quality.",95.83333333,94.02985075,261.18,308,,,#
#23871863,974087,6,0.9,0.6,260,,,,80,,"Data Analytics (25%, Score 18/25): The DA section included a linear trend chart with a sharp exponential jump in 2024, but no explanation was provided for this sudden change. Without justification such as a market event, genre resurgence, or technological innovation, the spike appears arbitrary and weakens the analytic reasoning. A PivotTable was also used, demonstrating effort and familiarity with Excel tools, but the section still needed clearer interpretation and a stronger connection to the game vision. The analysis did not fully explain how the data informed design decisions. Overall, the group showed technical competence but limited analytical depth. Game Vision and User Stories (20%, Score 14/20): The concept of a horror-house survival game was coherent and aligned well with the chosen theme. The group paid meaningful attention to detail by incorporating sound-detection mechanics, something emphasized in class, showing thoughtful application of lecture concepts. The vision was strong, though user stories or clearer player-motivation framing would enhance the narrative direction. UI/UX Mock-up (15%, Score 13/15): The mock-up was visually attractive and consistent with a horror aesthetic. The red tones, eerie atmosphere, and cohesive slide design contributed to a polished and immersive presentation. The group showed solid understanding of UI/UX principles for horror games, including high contrast, selective lighting, and tension-building visuals. Additional HUD detail, such as health or sound indicators, would further improve clarity, but the mock-up remained strong. Game Mechanics (15%, Score 14/15): The mechanics section was well executed, particularly the inclusion of sound-detection—a core mechanic in many horror titles. This demonstrated awareness of tension dynamics, player interaction, and immersive gameplay. Other mechanics were coherent and genre-appropriate, making this one of the group’s strongest components. Agile Process Participation (10%, Score 9/10): The slides demonstrated consistent effort and a polished final product, indicating strong teamwork and coordination. All components appeared well prepared, though analytics lagged slightly behind the quality of design elements. Overall, the group showed good collaborative execution. Presentation (15%, Score 12/15): The presentation was engaging, atmospheric, and visually striking. The red palette enhanced the horror theme, and delivery was clear. However, the final slide featuring your face—and drawing attention to acne—was unnecessary and inappropriate, detracting from the professionalism of an otherwise strong presentation. Avoid using real people’s faces in project slides going forward.",27.97619048,93.28358209,267.5,308,,,#
#23935757,824539,5,1,0.35,253.33,,,,80,,"Data Analytics (25%, Score 18/25): The DA section included a linear trend chart with a sharp exponential jump in 2024, but no explanation was provided for this sudden change. Without justification such as a market event, genre resurgence, or technological innovation, the spike appears arbitrary and weakens the analytic reasoning. A PivotTable was also used, demonstrating effort and familiarity with Excel tools, but the section still needed clearer interpretation and a stronger connection to the game vision. The analysis did not fully explain how the data informed design decisions. Overall, the group showed technical competence but limited analytical depth. Game Vision and User Stories (20%, Score 14/20): The concept of a horror-house survival game was coherent and aligned well with the chosen theme. The group paid meaningful attention to detail by incorporating sound-detection mechanics, something emphasized in class, showing thoughtful application of lecture concepts. The vision was strong, though user stories or clearer player-motivation framing would enhance the narrative direction. UI/UX Mock-up (15%, Score 13/15): The mock-up was visually attractive and consistent with a horror aesthetic. The red tones, eerie atmosphere, and cohesive slide design contributed to a polished and immersive presentation. The group showed solid understanding of UI/UX principles for horror games, including high contrast, selective lighting, and tension-building visuals. Additional HUD detail, such as health or sound indicators, would further improve clarity, but the mock-up remained strong. Game Mechanics (15%, Score 14/15): The mechanics section was well executed, particularly the inclusion of sound-detection—a core mechanic in many horror titles. This demonstrated awareness of tension dynamics, player interaction, and immersive gameplay. Other mechanics were coherent and genre-appropriate, making this one of the group’s strongest components. Agile Process Participation (10%, Score 9/10): The slides demonstrated consistent effort and a polished final product, indicating strong teamwork and coordination. All components appeared well prepared, though analytics lagged slightly behind the quality of design elements. Overall, the group showed good collaborative execution. Presentation (15%, Score 12/15): The presentation was engaging, atmospheric, and visually striking. The red palette enhanced the horror theme, and delivery was clear. However, the final slide featuring your face—and drawing attention to acne—was unnecessary and inappropriate, detracting from the professionalism of an otherwise strong presentation. Avoid using real people’s faces in project slides going forward.",36.30952381,50,259.68,308,,,#
#24069242,551505,6,0.8,0.6,280,,,,86,,"Data Analytics (25%, Score 17/25): The group included two visualizations, a bar chart showing 24-hour player counts for titles like Hearts of Iron and a pie chart indicating that the strategy genre dominates market share. While technically correct, the analytics did not clearly support the puzzle or exam-escape theme. The category “strategy” is too broad to inform specific puzzle-genre decisions, and there was no explanation of how the charts shaped the game concept. Using puzzle-relevant metrics or explicitly linking the data to design choices would have strengthened this section. Overall, the analytics were adequate but lacked depth and alignment. Game Vision and User Stories (20%, Score 14/20): The concept of a puzzle escape game set inside an exam hall was creative and thematically coherent. The vision was strong and relatable to student experiences, and the user stories demonstrated an understanding of gameplay goals. The idea was original and accessible, though it could benefit from slightly clearer prioritization of user objectives. UI/UX Mock-up (15%, Score 13/15): The slides contained substantial visual material and showed thoughtful interface planning. The only major improvement would be replacing real teachers’ photographs with AI-generated images for professionalism and privacy. Otherwise, the mock-ups were polished and genre-appropriate. Game Mechanics (15%, Score 14/15): The mechanics were clearly presented and well aligned with the puzzle escape concept. The group demonstrated logical progression, clever interactions, and feasible gameplay loops that tied well to the game vision. Agile Process Participation (10%, Score 10/10): The group demonstrated excellent teamwork, with strong task division and effective parallelization that reflected Agile principles. Presentation (15%, Score 13/15): The presentation was engaging, smooth, and well structured. The storytelling around the exam escape idea was strong, and communication was clear throughout. Minor improvements in pacing or projection could enhance delivery further. The group also won the class voting for best overall project, and an additional 5 points were awarded.",96.42857143,93.28358209,287.4,308,,,#
#24133038,299049,6,0.6,0.5,258.33,,,,75,,"Data Analytics (25%, Score 17/25): The DA portion was thematically consistent with the design and story of Last Chronicle. The charts aligned well with the fantasy-adventure aesthetic, showing good attention to visual cohesion. The inclusion of a more in-depth chart showing monthly Steam game releases was a strong analytical choice, demonstrating awareness of industry patterns and providing useful context for understanding market saturation or release-timing strategy. More interpretation—such as how release-month clustering affects competition or visibility—would strengthen the analysis, but overall the DA was solid, insightful, and well executed. Game Vision and User Stories (20%, Score 15/20): The vision for Last Chronicle, a story-driven fantasy adventure where rewriting history alters reality, was creative, coherent, and well developed. The theme remained consistent throughout the presentation, and the concept showed strong narrative imagination. Although explicit user stories were not detailed, the clarity of the world-building suggests the group understood the player’s role and motivations. This was one of the strongest components of the project. UI/UX Mock-up (15%, Score 12/15): The UI elements supported the story-driven tone of the game and maintained consistent theming. While the mock-ups could benefit from more explicit HUD or menu structures, they were cohesive and aligned with the fantasy setting, contributing positively to immersion. Game Mechanics (15%, Score 13/15): The mechanics were appropriate for a narrative-adventure design and centered around the idea of rewriting history to reshape reality, implying branching paths, consequences, and strong player agency. More detail on how these choices manifest in gameplay—through puzzles, narrative forks, or environmental changes—would elevate the section, but the foundation was solid. Agile Process Participation (10%, Score 8/10): The presentation demonstrated substantial work across all required areas, indicating good coordination and division of tasks. Consistent theme polish suggested clear communication, though slight unevenness between sections revealed room for improved parallel refinement. Overall, teamwork was good. Presentation (15%, Score 10/15): The presentation delivery lacked energy, and when questioned further, the presenter did not appear fully familiar with the project’s inner workings. Clearer articulation of mechanics and more confident engagement would strengthen future presentations.",97.61904762,94.02985075,265.43,308,,,#
#24133198,141228,6,0.8,0.1,226.67,,,,70,,"Data Analytics (25%, Score 16/25): The DA portion included two charts, one table of concurrent players and one revenue chart for FPS-related games. While the content was relevant, the analysis lacked interpretation and did not explain why these statistics matter for the proposed game. There was little discussion of player trends, genre appeal, or how the data informed specific design decisions. In addition, the charts had white backgrounds that did not match the rest of the slide theme, which weakened the cohesiveness of the DA section and made the visuals feel detached from the rest of the project. Overall, the analytics met minimal requirements but lacked depth, explanation, and visual alignment. Game Vision and User Stories (20%, Score 12/20): The group paired a cute, stylistic animation with an FPS concept, but the story and art direction did not align clearly. The Squid Game–influenced typography contrasted with the lighthearted animation style, creating a thematic mismatch. The project also did not establish how the game differed from existing FPS titles, leaving the vision underdeveloped and unclear. User stories and player motivations were not strongly emphasized, reducing clarity regarding the intended player experience. UI/UX Mock-up (15%, Score 11/15): The visuals showed effort and creativity, with appealing assets and animations. However, mismatches in color themes, slide styling, and gameplay visuals reduced cohesion. The UI/UX elements were aesthetically pleasing but not thematically unified with the narrative or gameplay concept. A more consistent palette and refined design direction would strengthen overall clarity and professionalism. Game Mechanics (15%, Score 10/15): The mechanics were present but not well justified. Without explanation of how the gameplay differs from standard FPS titles, the mechanics remained generic and lacked grounding in a unique game vision. More detail on progression, unique mechanics, or novel gameplay loops would improve this section. Agile Process Participation (10%, Score 8/10): The strong aesthetic direction suggests that certain team members contributed heavily to visual polish. However, the imbalance between design detail and content depth indicates uneven contribution or misallocation of time. All required components were completed, but coordination across narrative, gameplay, and analytics could be improved. Presentation (15%, Score 13/15): The presentation showcased appealing visuals, but the explanation of the story concept, uniqueness, and DA rationale was limited. Delivery was acceptable overall, yet the lack of conceptual clarity affected communication. Stronger emphasis on how the game works, why it stands out, and how data supports design choices would improve the presentation.",95.83333333,91.04477612,233.57,308,,,#
#24146900,340700,5,0.8,0.6,220,,,,75,,"Data Analytics (25%, Score 17/25): The DA portion was thematically consistent with the design and story of Last Chronicle. The charts aligned well with the fantasy-adventure aesthetic, showing good attention to visual cohesion. The inclusion of a more in-depth chart showing monthly Steam game releases was a strong analytical choice, demonstrating awareness of industry patterns and providing useful context for understanding market saturation or release-timing strategy. More interpretation—such as how release-month clustering affects competition or visibility—would strengthen the analysis, but overall the DA was solid, insightful, and well executed. Game Vision and User Stories (20%, Score 15/20): The vision for Last Chronicle, a story-driven fantasy adventure where rewriting history alters reality, was creative, coherent, and well developed. The theme remained consistent throughout the presentation, and the concept showed strong narrative imagination. Although explicit user stories were not detailed, the clarity of the world-building suggests the group understood the player’s role and motivations. This was one of the strongest components of the project. UI/UX Mock-up (15%, Score 12/15): The UI elements supported the story-driven tone of the game and maintained consistent theming. While the mock-ups could benefit from more explicit HUD or menu structures, they were cohesive and aligned with the fantasy setting, contributing positively to immersion. Game Mechanics (15%, Score 13/15): The mechanics were appropriate for a narrative-adventure design and centered around the idea of rewriting history to reshape reality, implying branching paths, consequences, and strong player agency. More detail on how these choices manifest in gameplay—through puzzles, narrative forks, or environmental changes—would elevate the section, but the foundation was solid. Agile Process Participation (10%, Score 8/10): The presentation demonstrated substantial work across all required areas, indicating good coordination and division of tasks. Consistent theme polish suggested clear communication, though slight unevenness between sections revealed room for improved parallel refinement. Overall, teamwork was good. Presentation (15%, Score 10/15): The presentation delivery lacked energy, and when questioned further, the presenter did not appear fully familiar with the project’s inner workings. Clearer articulation of mechanics and more confident engagement would strengthen future presentations.",89.88095238,91.79104478,226.4,308,,,#
